age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,admin.,single,secondary,no,45,yes,yes,cellular,14,may,908,3,344,7,other,no
86,retired,married,secondary,no,1503,no,no,telephone,18,mar,165,3,101,1,other,no
42,management,married,primary,no,-679,yes,yes,cellular,6,may,159,1,343,2,failure,no
34,services,divorced,secondary,no,991,yes,no,cellular,6,may,89,1,344,1,failure,no
30,blue-collar,single,secondary,no,180,no,no,cellular,14,jul,203,1,183,2,failure,no
34,technician,single,secondary,no,440,yes,no,cellular,6,may,445,2,345,2,failure,no
39,technician,married,secondary,no,-735,yes,no,cellular,30,jan,144,5,248,2,failure,no
39,technician,divorced,secondary,no,902,yes,no,cellular,10,feb,691,2,180,5,failure,yes
28,student,single,tertiary,no,0,no,no,cellular,28,sep,294,2,105,7,other,yes
46,management,married,tertiary,no,273,yes,no,cellular,18,mar,910,2,184,4,success,yes
54,retired,married,secondary,no,1139,yes,no,cellular,14,may,155,1,177,7,failure,no
54,blue-collar,married,secondary,no,0,no,no,telephone,16,apr,1366,1,150,1,failure,no
29,management,single,tertiary,no,1026,no,no,cellular,12,nov,226,1,92,1,other,yes
22,student,single,primary,no,3472,no,no,cellular,20,oct,332,1,183,3,failure,yes
49,blue-collar,married,primary,no,474,yes,yes,telephone,9,feb,152,3,221,1,failure,no
46,entrepreneur,single,tertiary,no,1410,yes,no,cellular,19,nov,93,1,189,8,failure,no
41,admin.,divorced,secondary,no,6046,yes,yes,telephone,15,mar,300,6,182,2,success,yes
36,admin.,single,tertiary,no,980,no,no,cellular,11,nov,118,4,104,7,failure,no
77,retired,married,primary,no,680,no,no,telephone,24,feb,513,2,89,7,failure,no
35,technician,married,secondary,no,-259,yes,no,cellular,29,jan,381,1,247,2,failure,no
34,technician,single,secondary,no,105,yes,no,cellular,7,may,146,2,171,3,failure,no
45,blue-collar,married,secondary,no,2926,yes,yes,cellular,19,nov,482,3,120,2,failure,no
28,blue-collar,married,primary,no,60,yes,no,cellular,6,may,161,1,337,1,failure,no
32,admin.,single,tertiary,no,1583,yes,no,cellular,19,nov,100,1,182,1,failure,no
28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,apr,406,1,317,1,failure,no
51,unemployed,married,secondary,no,-13,yes,no,cellular,13,may,361,1,364,1,failure,no
31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no
40,management,single,tertiary,no,0,yes,no,cellular,23,feb,228,2,182,6,failure,yes
51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure,no
59,management,married,primary,no,1727,no,no,telephone,25,may,500,4,358,2,failure,yes
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,2,178,3,other,yes
59,technician,married,primary,no,4198,no,no,cellular,14,jan,309,1,91,10,success,yes
52,blue-collar,married,primary,no,230,yes,no,cellular,6,may,198,2,170,2,failure,no
48,technician,married,secondary,no,568,yes,no,cellular,2,sep,378,2,386,1,success,yes
41,housemaid,divorced,primary,no,22,yes,no,cellular,18,nov,238,3,126,4,other,no
47,technician,married,secondary,no,1167,yes,no,cellular,30,apr,968,1,87,5,failure,yes
38,management,single,tertiary,no,35,yes,no,cellular,17,apr,156,1,273,3,failure,no
80,retired,married,secondary,no,8304,no,no,telephone,6,apr,681,1,118,11,success,no
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112,1,78,1,failure,no
26,management,single,tertiary,no,592,no,no,telephone,29,jan,145,2,164,1,other,no
58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,no
38,self-employed,divorced,tertiary,no,1513,no,no,cellular,7,may,330,1,342,1,failure,no
24,student,single,secondary,no,508,yes,no,telephone,18,may,12,3,374,1,other,no
48,unemployed,married,secondary,no,817,no,no,cellular,14,jan,517,1,282,4,success,yes
41,technician,divorced,secondary,no,348,yes,no,cellular,7,may,225,2,275,2,failure,no
35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,yes
37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,yes
51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,may,347,1,284,2,failure,no
33,services,married,secondary,no,386,no,no,cellular,12,nov,253,1,92,4,failure,yes
47,technician,married,secondary,no,826,yes,no,telephone,18,nov,195,3,112,8,other,no
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,sep,199,1,92,14,success,yes
32,blue-collar,single,secondary,no,33,yes,no,cellular,18,may,125,1,368,4,failure,no
40,services,married,secondary,no,1438,yes,no,cellular,6,may,207,1,351,2,failure,no
46,admin.,single,secondary,no,1693,yes,no,cellular,25,jan,137,1,97,1,success,no
54,management,divorced,tertiary,no,26306,yes,no,cellular,11,feb,27,1,84,3,failure,no
34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,227,4,failure,yes
24,student,single,secondary,no,822,no,no,cellular,27,oct,184,1,91,2,failure,yes
33,blue-collar,married,secondary,no,139,yes,yes,cellular,18,may,732,2,291,5,failure,yes
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,no
34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,no
49,unemployed,divorced,tertiary,no,780,no,no,cellular,8,nov,148,1,871,2,failure,no
37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,yes
36,management,single,tertiary,no,1531,yes,no,cellular,8,may,81,3,170,1,failure,no
58,retired,married,secondary,no,502,yes,no,cellular,12,may,197,2,370,3,failure,no
55,admin.,married,secondary,no,0,no,no,cellular,23,sep,180,2,238,3,success,no
34,management,single,tertiary,no,171,yes,no,cellular,7,may,191,1,294,1,failure,no
38,technician,married,secondary,no,1931,no,no,cellular,2,jun,167,1,298,10,other,no
34,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,may,184,1,167,6,failure,no
48,technician,married,secondary,no,197,no,yes,cellular,3,feb,47,2,222,3,other,no
28,technician,single,secondary,no,769,yes,no,cellular,15,may,153,1,371,2,failure,no
36,technician,married,tertiary,no,6,yes,no,cellular,27,jan,100,1,435,1,failure,no
53,admin.,married,secondary,no,225,yes,no,cellular,20,apr,304,1,340,1,failure,no
38,admin.,single,secondary,no,883,yes,no,cellular,12,may,95,1,327,9,other,no
30,management,married,tertiary,no,102,yes,no,cellular,5,apr,470,7,426,3,other,yes
33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,31,1,363,2,failure,no
26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239,3,failure,no
36,services,single,secondary,no,417,yes,no,cellular,6,feb,15,10,207,3,failure,no
33,admin.,divorced,secondary,no,661,yes,no,cellular,18,nov,411,1,173,2,other,no
43,services,single,secondary,no,3403,yes,no,cellular,12,nov,707,2,97,2,success,yes
42,blue-collar,divorced,secondary,no,1491,yes,no,cellular,6,may,203,2,334,2,failure,no
32,technician,single,secondary,no,6402,yes,no,cellular,6,may,158,1,167,1,success,no
30,management,married,tertiary,no,877,no,no,cellular,13,aug,202,1,83,5,failure,no
40,technician,married,secondary,no,0,yes,yes,cellular,26,jul,105,2,172,1,failure,no
26,student,single,secondary,no,203,no,no,cellular,16,nov,104,1,196,1,failure,no
52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,189,2,111,4,failure,no
42,unemployed,married,secondary,no,1289,no,no,cellular,15,jul,250,4,415,2,failure,yes
73,retired,married,primary,no,796,no,no,cellular,23,oct,427,1,182,2,failure,yes
51,technician,married,secondary,no,117,no,no,cellular,24,aug,467,2,88,4,other,yes
39,management,married,tertiary,no,691,yes,yes,cellular,16,apr,517,1,255,1,failure,no
35,management,married,secondary,no,724,yes,no,cellular,14,jul,287,2,415,1,failure,yes
30,blue-collar,married,secondary,no,-28,yes,no,cellular,18,may,284,2,371,1,failure,no
46,blue-collar,married,primary,no,665,no,no,cellular,30,jan,89,4,235,2,failure,no
36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,189,4,success,yes
26,blue-collar,single,primary,no,155,yes,no,cellular,29,jan,291,1,244,4,failure,no
22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,yes
32,management,married,tertiary,no,1667,yes,no,cellular,18,nov,164,2,179,3,failure,no
50,admin.,divorced,secondary,no,769,no,no,cellular,28,jul,72,2,363,4,failure,no
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,apr,93,3,329,7,failure,no
56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,failure,no
44,technician,divorced,secondary,no,14,no,no,cellular,13,nov,167,1,92,1,success,yes
31,management,married,tertiary,no,4148,yes,no,cellular,21,nov,316,3,99,9,other,yes
49,unemployed,married,tertiary,no,377,no,no,cellular,22,may,158,1,59,2,failure,no
34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
44,blue-collar,married,secondary,no,1071,yes,no,cellular,11,may,143,3,357,1,failure,no
55,admin.,married,secondary,no,865,yes,no,cellular,17,apr,85,1,151,1,failure,no
52,technician,married,tertiary,no,2557,no,no,cellular,28,jan,134,5,204,2,success,yes
32,technician,married,secondary,no,4,no,no,cellular,4,feb,145,2,260,4,failure,no
36,blue-collar,single,primary,no,367,no,no,cellular,2,feb,217,1,221,1,failure,no
36,admin.,married,secondary,no,725,yes,no,cellular,27,feb,123,3,99,8,failure,no
45,blue-collar,married,secondary,no,776,yes,no,cellular,6,feb,232,4,253,1,failure,no
28,technician,single,secondary,no,1453,yes,no,cellular,12,may,246,1,343,1,other,no
27,admin.,single,tertiary,no,3672,yes,no,cellular,15,may,157,2,351,5,failure,no
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,apr,1472,1,192,4,failure,yes
36,management,married,tertiary,no,1133,yes,no,cellular,4,aug,293,1,181,2,other,yes
59,admin.,married,secondary,no,92,yes,no,cellular,12,may,139,2,350,1,failure,no
27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,yes
46,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,239,2,259,2,failure,no
35,self-employed,married,tertiary,no,560,yes,no,cellular,2,apr,58,1,136,1,failure,no
29,management,single,tertiary,no,437,no,no,cellular,5,aug,504,1,92,1,success,yes
74,retired,married,secondary,no,935,no,no,cellular,26,jan,100,1,104,1,other,no
57,blue-collar,married,secondary,no,1521,yes,yes,cellular,18,may,102,2,178,5,failure,no
34,management,married,tertiary,no,1310,no,no,telephone,30,jan,521,3,158,7,other,no
55,management,divorced,tertiary,no,9756,yes,no,cellular,5,jun,103,2,95,1,other,yes
37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318,2,338,1,success,no
45,technician,divorced,secondary,no,809,yes,no,cellular,13,may,155,2,363,4,failure,no
33,management,married,tertiary,no,287,yes,no,cellular,15,may,199,2,274,3,other,no
47,technician,divorced,tertiary,no,477,yes,no,telephone,7,may,973,1,366,1,failure,no
32,technician,single,secondary,no,230,yes,no,cellular,18,may,442,1,266,8,failure,yes
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,no
34,management,married,tertiary,no,1657,yes,no,cellular,18,may,566,2,356,4,failure,no
39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure,no
34,blue-collar,married,secondary,no,1221,yes,no,cellular,6,may,182,1,90,8,failure,no
42,blue-collar,married,secondary,no,2157,yes,no,cellular,13,may,149,1,364,2,failure,no
37,management,married,primary,no,22856,no,no,cellular,2,jul,154,1,388,1,failure,no
35,technician,single,secondary,no,5731,yes,no,cellular,4,may,164,2,167,4,other,no
56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,80,2,165,2,other,no
41,admin.,single,secondary,no,748,no,no,telephone,21,nov,94,7,130,3,other,no
57,entrepreneur,divorced,secondary,yes,25,yes,no,cellular,11,may,652,1,370,4,other,no
26,admin.,single,secondary,no,96,yes,no,cellular,13,may,612,2,348,3,other,no
39,management,married,tertiary,no,763,yes,no,cellular,11,may,877,7,300,2,other,yes
36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,failure,no
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258,2,122,2,other,yes
47,blue-collar,married,primary,no,881,yes,no,cellular,14,may,143,1,370,2,failure,no
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,success,yes
40,self-employed,married,secondary,no,167,yes,yes,cellular,8,may,380,4,295,1,failure,no
32,technician,single,tertiary,no,1625,no,no,cellular,22,may,796,1,109,1,failure,yes
23,blue-collar,single,primary,no,8627,yes,no,cellular,15,may,169,1,346,1,failure,no
31,management,single,tertiary,no,2590,no,no,cellular,23,sep,103,2,484,2,other,no
61,housemaid,married,primary,no,848,no,no,cellular,27,apr,605,1,187,1,other,no
43,management,married,secondary,no,481,yes,no,telephone,18,nov,164,1,110,2,other,no
32,management,single,tertiary,no,697,no,no,cellular,7,aug,119,1,99,3,failure,no
39,management,married,tertiary,no,894,yes,no,cellular,20,apr,491,1,326,1,other,no
37,blue-collar,married,primary,no,655,yes,no,cellular,5,feb,127,2,258,4,failure,no
56,retired,divorced,primary,no,694,no,no,cellular,29,jan,144,1,102,1,other,yes
41,technician,single,tertiary,no,1646,yes,no,cellular,4,feb,261,1,184,6,success,yes
29,admin.,single,tertiary,no,14,no,no,cellular,29,sep,87,1,120,1,failure,no
39,admin.,married,secondary,no,260,yes,no,cellular,17,apr,146,1,281,1,failure,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,6,may,451,1,169,2,failure,yes
46,blue-collar,married,primary,no,147,yes,no,cellular,6,may,116,2,169,3,failure,no
36,technician,married,secondary,no,55,yes,no,cellular,13,may,38,2,369,4,failure,no
35,management,married,tertiary,no,552,yes,yes,cellular,19,nov,314,2,124,1,failure,no
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87,4,357,4,failure,no
31,management,single,tertiary,no,12569,no,no,cellular,9,sep,344,1,295,1,failure,yes
46,blue-collar,married,secondary,no,4855,yes,no,cellular,10,aug,1529,1,397,1,failure,no
47,technician,married,tertiary,no,2408,no,no,cellular,12,aug,236,1,104,1,success,no
37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,316,1,failure,no
38,entrepreneur,married,tertiary,no,1514,no,yes,cellular,21,nov,160,3,120,3,failure,no
38,entrepreneur,single,secondary,no,2543,no,no,cellular,10,aug,223,1,414,4,failure,yes
56,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214,1,349,1,failure,no
47,housemaid,married,secondary,no,3940,yes,no,cellular,9,nov,171,2,96,5,success,no
37,admin.,married,secondary,no,7,yes,no,cellular,27,may,224,7,105,1,other,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes
44,blue-collar,married,secondary,no,508,yes,no,cellular,20,apr,222,1,154,1,failure,no
43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other,no
37,blue-collar,married,secondary,no,342,yes,no,cellular,12,may,340,2,175,1,failure,no
36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,failure,no
38,management,single,tertiary,no,16957,yes,no,telephone,29,jan,208,1,247,2,failure,no
40,management,married,tertiary,no,0,no,no,cellular,10,nov,147,1,96,8,success,yes
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698,2,292,1,failure,yes
55,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223,2,186,3,other,no
34,admin.,married,secondary,no,2374,yes,no,cellular,9,nov,161,1,209,2,failure,yes
32,admin.,single,secondary,no,92,yes,no,cellular,18,may,110,1,315,2,failure,no
40,blue-collar,married,primary,no,1397,yes,no,telephone,12,may,58,2,334,1,failure,no
35,services,single,secondary,no,414,yes,no,cellular,20,apr,11,5,319,2,other,no
38,technician,married,secondary,no,4030,yes,no,cellular,19,nov,75,2,177,5,failure,no
52,admin.,married,secondary,no,0,no,no,cellular,22,apr,91,2,275,1,failure,no
43,management,single,tertiary,no,1696,yes,no,cellular,26,aug,257,1,474,3,failure,yes
34,blue-collar,married,secondary,no,856,yes,no,cellular,20,apr,470,1,150,5,other,no
34,technician,single,secondary,no,347,yes,no,cellular,6,feb,154,2,197,6,failure,no
31,technician,single,secondary,no,2544,no,no,cellular,15,jul,252,1,184,3,success,yes
46,management,married,tertiary,no,523,yes,no,cellular,6,may,105,4,366,2,failure,no
56,retired,married,secondary,no,3948,no,no,cellular,3,apr,484,1,135,3,failure,no
66,retired,married,primary,no,747,no,no,telephone,28,jan,203,3,93,1,failure,no
39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure,no
28,technician,married,secondary,no,232,yes,yes,cellular,29,jan,72,1,261,1,failure,no
53,self-employed,married,tertiary,no,451,yes,no,cellular,2,feb,125,1,249,2,failure,no
32,admin.,single,secondary,no,678,yes,no,cellular,4,feb,1579,1,246,4,failure,yes
45,technician,divorced,secondary,no,976,yes,no,cellular,17,apr,183,1,338,2,failure,no
36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,other,no
75,blue-collar,married,secondary,no,6053,no,no,cellular,11,feb,865,2,190,1,failure,no
35,admin.,married,secondary,no,725,yes,no,cellular,20,nov,219,7,133,1,failure,no
50,entrepreneur,married,secondary,no,806,yes,yes,cellular,7,may,141,8,297,2,other,no
55,management,divorced,tertiary,no,481,yes,no,telephone,8,may,147,2,298,3,failure,no
28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,1,181,5,success,yes
33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,other,no
79,retired,married,primary,no,8556,no,no,telephone,18,jan,326,2,272,2,success,yes
77,retired,married,primary,no,680,no,no,telephone,27,nov,341,4,94,3,failure,no
29,admin.,married,secondary,no,22171,yes,no,cellular,18,may,44,1,355,3,failure,no
56,management,married,tertiary,no,856,yes,yes,cellular,4,feb,70,4,7,7,other,no
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276,1,195,1,failure,no
43,blue-collar,married,primary,no,2519,yes,no,cellular,16,apr,257,2,146,9,other,no
52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267,1,474,1,failure,yes
27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no
54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,541,3,success,yes
36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes
45,admin.,married,primary,no,542,no,no,cellular,11,may,8,5,350,3,other,no
35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,failure,no
45,blue-collar,married,secondary,no,192,yes,no,cellular,13,may,154,5,176,1,other,no
35,blue-collar,married,secondary,no,262,no,no,cellular,2,jul,96,2,109,4,success,no
44,services,single,secondary,no,5045,yes,no,cellular,21,nov,20,6,175,15,other,no
59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,207,2,153,1,failure,no
33,technician,single,secondary,no,1279,yes,no,cellular,18,may,239,2,349,3,success,no
30,admin.,single,secondary,no,127,yes,no,cellular,18,may,16,6,368,1,other,no
32,technician,divorced,secondary,no,202,yes,no,cellular,4,feb,429,1,201,1,failure,no
28,self-employed,single,tertiary,no,442,no,no,cellular,19,jun,474,3,95,3,other,yes
27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,no
38,management,single,tertiary,no,427,yes,no,cellular,6,may,17,3,169,2,failure,no
60,services,married,tertiary,no,4256,yes,no,cellular,16,aug,239,3,761,1,other,yes
52,services,divorced,secondary,no,238,yes,no,cellular,6,may,101,1,362,5,other,no
64,retired,married,tertiary,no,846,no,no,cellular,11,feb,671,1,181,3,failure,yes
35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,failure,no
33,admin.,married,tertiary,no,79,yes,no,cellular,22,oct,249,2,335,2,failure,yes
25,management,single,tertiary,no,808,no,no,cellular,18,sep,267,2,114,2,failure,yes
31,management,married,tertiary,no,22546,yes,no,cellular,14,may,8,6,267,4,failure,no
29,blue-collar,married,secondary,no,228,yes,no,cellular,11,may,12,8,342,9,failure,no
40,services,married,secondary,no,-378,yes,yes,cellular,13,may,541,1,295,6,failure,no
55,admin.,married,secondary,no,865,yes,no,cellular,27,oct,96,1,111,3,failure,no
31,admin.,married,secondary,no,389,yes,no,cellular,7,dec,69,1,185,2,failure,no
34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,apr,543,3,321,6,failure,no
57,services,divorced,secondary,no,4664,no,no,cellular,21,nov,22,4,114,1,failure,no
31,student,single,tertiary,no,64,no,no,cellular,15,sep,208,1,105,2,success,no
49,unemployed,married,tertiary,no,-471,yes,no,cellular,20,nov,77,3,185,7,failure,no
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342,3,332,1,other,no
33,blue-collar,single,secondary,no,142,yes,no,cellular,14,may,123,1,360,3,other,no
38,unknown,single,tertiary,no,0,no,no,cellular,11,sep,260,3,95,3,success,yes
46,services,married,secondary,no,4,no,no,cellular,30,apr,268,1,261,5,other,yes
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,other,no
38,management,single,tertiary,no,8669,yes,no,telephone,20,apr,5,3,150,6,failure,no
45,admin.,married,secondary,no,72,yes,yes,cellular,15,may,262,2,352,2,failure,no
60,admin.,married,secondary,no,2552,no,yes,cellular,30,jan,255,2,2,4,other,no
40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363,1,173,24,other,no
41,blue-collar,married,primary,no,7735,yes,no,cellular,20,nov,220,1,190,1,failure,no
58,management,married,secondary,no,139,no,no,cellular,27,may,188,1,161,2,other,no
29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure,no
34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,467,5,other,no
38,services,married,secondary,no,8876,no,no,cellular,2,feb,280,1,75,1,failure,no
34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
52,admin.,married,secondary,no,199,no,no,cellular,28,jan,978,2,189,1,other,no
46,blue-collar,married,primary,no,1291,yes,no,cellular,14,may,142,3,259,17,failure,no
40,unemployed,married,secondary,no,0,yes,no,cellular,19,nov,332,1,183,1,failure,no
40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other,no
30,management,married,secondary,no,-559,yes,yes,cellular,7,may,98,1,167,2,failure,no
36,management,single,tertiary,no,-679,yes,yes,cellular,7,may,172,1,93,1,failure,no
58,services,divorced,secondary,no,462,no,no,cellular,13,nov,495,1,93,1,success,yes
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185,5,other,yes
39,self-employed,married,secondary,no,31,yes,no,cellular,20,nov,61,2,181,4,failure,no
54,technician,married,secondary,no,0,no,no,telephone,14,aug,159,2,106,6,success,no
32,management,single,tertiary,no,347,yes,no,cellular,18,may,213,1,264,6,failure,no
31,technician,married,secondary,no,0,yes,yes,cellular,28,jan,71,1,223,9,other,no
33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,failure,yes
46,management,divorced,tertiary,no,225,yes,no,cellular,14,may,201,1,345,1,other,no
50,management,married,tertiary,no,112,yes,no,cellular,4,nov,70,5,85,5,other,no
47,admin.,single,secondary,no,1544,yes,no,cellular,6,apr,104,1,312,1,failure,no
39,technician,married,secondary,no,6,yes,no,cellular,18,may,122,3,357,4,failure,no
39,admin.,married,secondary,no,-650,no,no,cellular,15,may,123,2,364,1,failure,no
50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218,3,161,9,other,no
34,housemaid,married,tertiary,no,0,no,no,cellular,26,may,141,1,188,1,failure,no
31,management,married,tertiary,no,1384,yes,no,cellular,30,jan,203,2,2,3,other,no
46,blue-collar,married,secondary,no,-1400,yes,no,telephone,6,may,309,3,355,4,failure,no
43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
27,technician,single,secondary,no,842,no,no,cellular,30,jul,273,1,91,1,other,no
42,blue-collar,single,primary,no,1628,yes,no,cellular,5,feb,119,1,195,8,success,no
70,retired,married,secondary,no,1164,no,no,telephone,14,may,338,3,185,2,failure,no
50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,other,no
50,self-employed,married,tertiary,no,202,yes,no,cellular,15,apr,107,1,148,4,failure,no
34,technician,married,secondary,no,114,yes,yes,cellular,4,jun,153,1,309,3,other,no
36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
27,student,single,secondary,no,268,yes,no,cellular,13,may,528,1,358,2,failure,no
58,admin.,single,secondary,no,2223,no,no,cellular,4,dec,1139,2,114,1,success,no
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102,1,85,1,failure,no
26,services,single,secondary,no,1347,no,no,telephone,18,jun,280,6,92,5,other,yes
26,services,single,secondary,no,5533,yes,no,cellular,7,may,582,2,283,4,failure,no
42,admin.,single,secondary,no,30,yes,no,cellular,4,feb,98,1,266,3,failure,no
39,management,single,tertiary,no,0,yes,no,cellular,12,may,561,4,369,3,failure,no
43,management,divorced,tertiary,no,497,no,no,cellular,13,may,66,1,363,22,failure,no
30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
29,technician,married,tertiary,no,858,yes,no,cellular,12,jun,234,7,330,1,failure,no
80,housemaid,married,primary,no,0,no,no,cellular,23,feb,639,1,189,1,failure,yes
31,management,married,tertiary,no,1331,no,no,cellular,30,apr,297,1,86,3,success,yes
57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67,1,368,2,failure,no
51,management,married,tertiary,no,5108,yes,no,cellular,8,oct,272,1,102,8,other,no
42,blue-collar,married,primary,no,-97,yes,no,cellular,3,feb,216,4,271,5,failure,no
43,management,married,tertiary,no,489,yes,no,cellular,8,may,130,1,172,2,other,no
34,self-employed,married,tertiary,no,263,no,no,cellular,4,may,203,1,78,8,other,no
35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,success,no
37,housemaid,divorced,secondary,no,1040,yes,no,cellular,13,may,199,1,173,2,failure,no
52,retired,married,secondary,no,424,no,no,cellular,19,nov,143,1,154,3,failure,no
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,yes
50,management,married,tertiary,no,-470,yes,no,cellular,19,nov,130,2,160,1,failure,no
39,technician,married,secondary,no,116,no,no,cellular,24,aug,79,2,94,2,success,no
33,blue-collar,single,secondary,no,3975,yes,yes,cellular,17,apr,515,1,150,1,other,no
42,services,married,secondary,no,96,yes,no,cellular,5,may,238,3,340,2,failure,no
55,technician,divorced,secondary,no,3450,no,no,cellular,10,feb,169,1,183,1,failure,yes
46,management,single,tertiary,no,334,yes,no,telephone,4,may,36,6,90,2,other,no
41,management,divorced,tertiary,no,3355,no,no,cellular,14,oct,181,2,500,1,failure,no
30,technician,single,tertiary,no,2325,no,no,cellular,5,apr,270,3,241,4,other,no
31,blue-collar,married,secondary,no,1664,yes,no,cellular,20,apr,158,1,182,1,success,no
31,management,married,tertiary,no,623,yes,no,cellular,13,may,96,2,349,5,failure,no
32,admin.,married,secondary,no,3540,yes,no,cellular,18,may,213,1,178,1,failure,no
53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
34,management,single,tertiary,no,8038,yes,no,cellular,20,apr,29,3,152,1,failure,no
36,self-employed,married,secondary,no,189,yes,no,cellular,19,nov,136,1,120,1,failure,no
29,housemaid,single,tertiary,no,19,no,no,cellular,5,feb,110,2,64,2,success,yes
50,unknown,married,primary,no,341,yes,yes,cellular,20,apr,670,4,340,2,success,yes
39,admin.,married,secondary,no,607,yes,no,cellular,12,may,454,2,364,3,failure,yes
